300
7183	7183
39	41
83	3
34	54
89	4
35	86
6	18
96	68
73	60
42	100
87	29
11	16
4	88
48	97
3	34
85	72
34	78
58	85
31	29
7	79
13	73
51	4
48	34
7	93
32	95
70	57
99	9
20	6
11	29
10	90
28	15
24	81
43	34
35	87
15	58
52	79
1	67
88	16
32	31
24	23
69	26
70	7
64	99
57	12
21	84
92	80
32	63
31	69
68	67
3	71
5	4
8	37
96	59
79	88
48	59
44	27
3	88
47	45
90	88
19	88
68	93
46	97
91	25
35	34
13	28
6	3
61	94
51	87
52	50
86	4
20	59
53	55
67	100
78	90
72	21
42	53
31	78
90	85
8	52
43	77
89	51
15	31
36	8
34	14
62	25
81	79
29	71
22	53
88	59
17	69
37	39
92	10
54	20
100	85
51	44
2	77
43	13
62	61
4	56
18	46
83	54
24	24
66	21
39	5
41	68
13	57
19	75
33	79
24	79
63	23
49	31
42	54
84	27
35	5
85	95
27	52
76	52
78	77
30	62
78	79
50	6
77	61
79	6
83	29
74	25
90	51
19	48
80	18
26	13
4	1
84	36
20	99
58	13
79	35
14	79
9	8
4	78
8	96
46	65
18	1
14	6
26	50
58	26
81	16
54	86
91	18
11	99
49	58
34	35
96	78
24	20
54	64
16	59
71	69
88	21
56	44
16	36
69	97
80	21
21	48
21	21
27	28
77	82
79	23
56	82
99	73
49	59
22	17
75	40
94	47
80	19
97	76
30	64
44	86
40	38
15	72
88	80
6	68
30	13
75	18
67	14
39	83
9	81
24	29
23	74
70	85
25	31
51	100
88	58
43	56
32	11
45	24
95	52
72	12
80	62
30	77
47	54
67	62
2	58
95	79
4	24
17	94
17	72
90	95
55	23
84	42
86	3
59	22
20	30
20	76
58	48
61	25
76	74
11	50
20	40
59	9
7	69
39	25
81	74
92	77
17	41
48	33
57	73
33	58
47	54
18	82
52	64
53	90
13	35
84	2
17	48
21	32
81	98
53	73
14	93
29	95
67	77
92	4
96	29
63	21
18	42
70	83
32	2
86	46
42	42
31	45
70	34
66	45
76	94
61	78
8	72
23	98
53	44
32	22
6	100
3	80
46	36
91	87
18	59
79	29
35	44
49	81
79	60
84	41
63	84
36	36
22	30
58	55
88	94
49	56
78	24
14	18
56	87
16	67
95	89
4	17
95	26
19	90
89	39
11	56
73	17
49	54
91	2
64	59
62	76
9	57
48	84
72	17
100	64
43	13
92	40
58	75
1	45
71	99
91	40
4	85
14	72
15	52
17	19
13	20
27	80
39	47
83	47
34	2
89	58
35	66
6	83
96	71
73	63
42	24
87	98
11	88
4	14
48	18
3	38
85	70
34	4
58	74
31	81
7	51
13	37
51	62
48	94
7	93
32	36
70	60
99	27
20	70
11	43
10	57
28	13
24	71
43	82
35	76
15	93
52	76
1	65
88	84
32	77
24	88
69	99
70	9
64	98
57	97
21	76
92	50
32	7
31	38
68	50
3	79
5	6
8	70
96	71
79	57
48	9
44	80
3	82
47	38
90	44
19	89
68	61
46	35
91	41
35	58
13	98
6	35
61	76
51	71
52	89
86	38
20	100
53	30
67	73
78	70
72	62
42	64
31	4
90	44
8	76
43	33
89	80
15	38
36	65
34	70
62	59
81	60
29	51
22	96
88	75
17	68
37	40
92	47
54	71
100	51
51	29
2	52
43	40
62	48
4	28
18	42
83	99
24	15
66	90
39	63
41	77
13	99
19	40
33	78
24	41
63	24
49	98
42	44
84	75
35	3
85	8
27	99
76	73
78	58
30	26
78	46
50	42
77	34
79	19
83	99
74	80
90	48
19	58
80	46
26	34
4	72
84	9
20	91
58	46
79	64
14	29
9	77
4	9
8	68
46	38
18	31
14	21
26	40
58	19
81	55
54	50
91	47
11	45
49	33
34	48
96	63
24	28
54	98
16	51
71	93
88	98
56	79
16	76
69	90
80	30
21	39
21	24
27	82
77	16
79	8
56	75
99	64
49	15
22	41
75	75
94	22
80	63
97	19
30	24
44	74
40	60
15	93
88	1
6	81
30	91
75	56
67	41
39	83
9	32
24	32
23	11
70	16
25	43
51	77
88	81
43	6
32	86
45	29
95	55
72	30
80	79
30	2
47	21
67	83
2	63
95	14
4	51
17	20
17	91
90	5
55	71
84	69
86	30
59	12
20	98
20	94
58	53
61	23
76	99
11	23
20	53
59	20
7	70
39	83
81	99
92	62
17	29
48	50
57	99
33	90
47	87
18	9
52	23
53	9
13	77
84	93
17	72
21	14
81	90
53	30
14	29
29	95
67	26
92	62
96	79
63	50
18	15
70	20
32	77
86	92
42	26
31	46
70	37
66	81
76	51
61	19
8	70
23	5
53	24
32	9
6	76
3	23
46	79
91	30
18	9
79	37
35	91
49	55
79	20
84	67
63	55
36	1
22	11
58	87
88	84
49	16
78	49
14	100
56	36
16	9
95	42
4	17
95	48
19	13
89	31
11	29
73	19
49	91
91	93
64	12
62	51
9	92
48	12
72	44
100	35
43	45
92	95
58	29
1	38
71	24
91	66
4	30
14	80
15	60
17	80
13	94
27	94
